Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Myc Targets V1	99/200	1.111353e-27	5.556765e-26	0	0	5.132533e+00	3.185467e+02	EIF4A1;HNRNPU;HNRNPR;PHB2;RPL6;PSMD8;CDC20;FBL;TRIM28;RUVBL2;SNRPD3;KPNA2;DDX18;STARD7;EIF1AX;IFRD1;UBE2E1;ILF2;TUFM;CLNS1A;NHP2;SRSF3;SNRPA;KPNB1;SET;PSMD14;CSTF2;GSPT1;PCBP1;G3BP1;PGK1;XRCC6;PA2G4;SRPK1;HNRNPD;UBA2;RNPS1;EIF4G2;YWHAE;HSP90AB1;MCM7;SYNCRIP;XPO1;YWHAQ;C1QBP;CCT3;CCT2;NCBP1;VBP1;PABPC4;CCNA2;PSMA6;PSMA4;PSMA2;CANX;MCM4;MCM5;ETF1;PABPC1;MCM6;PRPS2;PCNA;SF3B3;ODC1;DDX21;TYMS;HSPD1;PSMB2;FAM120A;RPS3;USP1;RPL14;EIF4H;RPS2;BUB3;CCT7;HNRNPA1;CCT5;CCT4;NOP56;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;NAP1L1;RSL1D1;XPOT;PSMC4;APEX1;IMPDH2;HNRNPA2B1;SERBP1;PRPF31;TARDBP;EIF3D;MAD2L1;EIF3B
MSigDB_Hallmark_2020	E2F Targets	95/200	6.691986e-25	1.672997e-23	0	0	4.730433e+00	2.633135e+02	TOP2A;NUP107;MCM7;DSCC1;BUB1B;PSIP1;SMC6;BRCA1;MKI67;SMC4;IPO7;LMNB1;CDC20;PNN;SYNCRIP;XPO1;CHEK1;TK1;KPNA2;POLE;LBR;DLGAP5;TMPO;HELLS;RFC1;TUBB;KIF22;TUBG1;SMC1A;DCK;CIT;MMS22L;ILF3;MSH2;ESPL1;CKS2;DEPDC1;TIMELESS;MCM3;MCM4;KIF2C;MCM5;MCM6;ASF1A;ASF1B;SLBP;PRPS1;NUP205;DNMT1;PCNA;PRKDC;SHMT1;HMMR;PDS5B;GSPT1;PSMC3IP;POLD1;EXOSC8;USP1;PMS2;RBBP7;E2F8;BARD1;GINS1;NOP56;XRCC6;DUT;GINS3;PLK1;ATAD2;RPA1;RPA2;NAP1L1;PA2G4;SSRP1;MLH1;PAN2;CENPE;NUDT21;STAG1;RAD50;WEE1;KIF18B;NASP;UBE2S;RPA3;HNRNPD;TACC3;CDK1;NCAPD2;RAD1;EZH2;MAD2L1;CDKN3;SPC25
MSigDB_Hallmark_2020	G2-M Checkpoint	90/200	1.267041e-21	2.111735e-20	0	0	4.269758e+00	2.054505e+02	TOP2A;NUMA1;AMD1;HNRNPU;ARID4A;KIF11;MKI67;SMC4;KIF15;LMNB1;CDC20;SYNCRIP;XPO1;EXO1;KIF5B;CHEK1;CDC27;PBK;NEK2;FBXO5;KPNA2;LBR;POLE;TNPO2;TMPO;UPF1;SS18;PRMT5;TLE3;RBM14;ATRX;KIF22;SMC1A;CCNA2;ILF3;DBF4;RBL1;ESPL1;EWSR1;INCENP;DKC1;CKS2;MCM3;KIF2C;MCM5;NUP98;MCM6;KPNB1;PAFAH1B1;YTHDC1;ODC1;HMMR;PDS5B;HIF1A;CENPA;GSPT1;G3BP1;E2F1;DMD;E2F3;BUB3;BUB1;BARD1;SLC12A2;HSPA8;POLQ;SMAD3;UBE2C;PLK1;RPA2;CDC7;FANCC;MAPK14;CUL4A;TPX2;SQLE;CENPE;STAG1;CENPF;MARCKS;NASP;UBE2S;PRC1;HNRNPD;TACC3;CDK1;MNAT1;EZH2;MAD2L1;CDKN3
MSigDB_Hallmark_2020	Mitotic Spindle	84/199	3.824156e-18	4.780195e-17	0	0	3.803527e+00	1.525412e+02	TOP2A;YWHAE;DOCK4;TRIO;NUMA1;KIF11;SMC4;KIF15;LMNB1;AKAP13;PCM1;PPP4R2;KIF5B;ARHGDIA;CDC27;NCK2;NEK2;FBXO5;KIFAP3;SPTAN1;DLGAP5;CDK5RAP2;SUN2;ARHGEF12;DST;RFC1;SHROOM2;ARAP3;CSNK1D;ACTN4;KIF22;SMC1A;CKAP5;TUBA4A;CLIP2;CLIP1;CTTN;ESPL1;INCENP;PALLD;RASA1;FSCN1;MYH9;ATG4B;KIF2C;EZR;ARHGEF7;RAPGEF5;RAPGEF6;ARL8A;PAFAH1B1;STAU1;PXN;TUBD1;NEDD9;HDAC6;ABR;EPB41L2;STK38L;FLNA;CEP192;ECT2;WASF2;BUB1;SPTBN1;CLASP1;DYNC1H1;GSN;PLK1;TBCD;RANBP9;MYO9B;CDC42BPA;ANLN;TPX2;CENPE;MYO1E;CENPF;MARCKS;APC;PRC1;TAOK2;TUBGCP5;CDK1
MSigDB_Hallmark_2020	mTORC1 Signaling	77/200	3.847429e-14	3.847429e-13	0	0	3.251094e+00	1.004224e+02	GSK3B;UBE2D3;ATP2A2;PLOD2;ENO1;HK2;FADS2;TBK1;NAMPT;PHGDH;SLC37A4;CTSC;FADS1;PSPH;ACTR2;IGFBP5;HMGCS1;ELOVL5;IFRD1;CACYBP;ACSL3;TUBG1;TUBA4A;ACLY;PSMA3;PSMA4;PPA1;DDIT4;CANX;MCM4;TRIB3;ETF1;ALDOA;BCAT1;GAPDH;NUP205;TOMM40;PSMD14;PSMD13;INSIG1;AK4;HMGCR;ACACA;HSP90B1;HSPD1;STIP1;PSMB5;SERPINH1;PGK1;LTA4H;ABCF2;YKT6;BUB1;HSPA9;HSPA5;PNO1;SRD5A1;NFYC;PLK1;CYP51A1;RPA1;ASNS;IMMT;GTF2H1;DHCR24;MLLT11;CCT6A;SQLE;RIT1;PFKL;PSMC4;PSAT1;SCD;PSMC2;NMT1;DHCR7;LGMN
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	41/105	2.088295e-08	1.740246e-07	0	0	3.301606e+00	5.838671e+01	ATF1;GSK3B;CAB39;YWHAB;UBE2D3;CLTC;PRKAG1;ITPR2;ADCY2;ACACA;EGFR;HSP90B1;RPS6KA3;TBK1;PPP2R1B;ARHGDIA;PRKAR2A;RPS6KA1;MKNK2;E2F1;MAPK1;RIPK1;SFN;PLCG1;RAC1;PAK4;SMAD2;ACTR2;TSC2;TRAF2;PTPN11;PPP1CA;PIKFYVE;RIT1;ARPC3;CSNK2B;CDK1;PIN1;TRIB3;RAF1;PLCB1
MSigDB_Hallmark_2020	DNA Repair	48/150	1.634634e-06	1.167596e-05	0	0	2.425003e+00	3.231096e+01	POM121;FEN1;TSG101;PCNA;ARL6IP1;GTF3C5;MPG;CSTF3;CETN2;PRIM1;USP11;TAF9;TYMS;ADCY6;SDCBP;DGUOK;SEC61A1;POLD4;POLR2A;POLD1;POLR2D;REV3L;DGCR8;POLR2G;NELFCD;SF3A3;DUT;RPA2;GTF2H1;SSRP1;SUPT5H;SMAD5;NT5C3A;DDB1;POLA1;NUDT21;RAD51;DAD1;POLR3C;ERCC1;RPA3;IMPDH2;POLR1C;ERCC2;POLR1D;TAF6;SRSF6;ITPA
MSigDB_Hallmark_2020	Glycolysis	59/200	2.312724e-06	1.445453e-05	0	0	2.158576e+00	2.801203e+01	PYGB;B4GALT1;CHPF;CITED2;HDLBP;PLOD2;IRS2;ENO1;PYGL;HS6ST2;HK2;GYS1;DPYSL4;PDK3;QSOX1;SOX9;SLC37A4;IER3;CHPF2;IGFBP3;AKR1A1;SDHC;ALG1;MIF;TPST1;MED24;PKM;DDIT4;DEPDC1;KIF20A;ANGPTL4;ALDOA;GNE;PFKFB1;COPB2;PRPS1;ABCB6;RPE;AK4;TXN;HMMR;ARPP19;CENPA;EGFR;PPP2CB;GPC1;PGK1;HSPA5;AGL;GFPT1;SRD5A3;EXT2;NASP;PSMC4;P4HA2;CDK1;TGFBI;PAM;PFKP
MSigDB_Hallmark_2020	Apoptosis	47/161	3.168250e-05	1.708259e-04	0	0	2.122345e+00	2.198695e+01	IFITM3;TOP2A;APP;RETSAT;DIABLO;XIAP;NEDD9;PSEN1;BRCA1;RELA;CASP9;PPP3R1;PAK1;ANKH;LMNA;HMOX1;TSPO;DNM1L;SPTAN1;IER3;MCL1;BNIP3L;JUN;CREBBP;GSTM1;GPX1;GSN;GADD45A;GPX3;HGF;CAV1;MMP2;TAP1;CFLAR;IGF2R;PTK2;DNAJA1;WEE1;FEZ1;MADD;PDCD4;TXNIP;CTNNB1;ETF1;PLCB2;DAP3;BCL2L1
MSigDB_Hallmark_2020	Protein Secretion	32/96	3.416518e-05	1.708259e-04	0	0	2.569710e+00	2.642768e+01	COPB2;TMED10;TSG101;CLTC;ATP1A1;EGFR;RPS6KA3;AP1G1;LAMP2;ATP6V1H;MAPK1;DNM1L;YKT6;CTSC;SEC31A;ABCA1;DST;BNIP3;GBF1;ADAM10;AP2B1;STAM;IGF2R;RER1;RAB14;GNAS;VPS45;ERGIC3;PAM;RAB5A;COPE;BET1
