Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Interferon Alpha Response	58/97	1.112637e-25	5.563184e-24	0	0	9.331290e+00	5.361563e+02	IFITM3;LGALS3BP;RTP4;OGFR;IFITM1;SAMD9L;IFITM2;UBE2L6;IFIT3;IFI44L;IFIT2;OASL;IFIH1;NUB1;TRIM5;DHX58;EPSTI1;TRIM25;B2M;HERC6;RSAD2;SP110;TAP1;HLA-C;PARP9;PSMA3;ELF1;IFI27;OAS1;IRF1;IRF7;CMPK2;PSME2;TXNIP;NCOA7;LAP3;UBA7;CNP;SAMD9;DDX60;USP18;HELZ2;SLC25A28;MVB12A;GBP2;GBP4;CD74;PNPT1;MX1;IFI44;EIF2AK2;ISG15;TDRD7;NMI;PARP14;PSMB8;PSMB9;MOV10
MSigDB_Hallmark_2020	Myc Targets V1	87/200	1.800920e-24	4.502300e-23	0	0	4.861506e+00	2.657967e+02	YWHAE;EIF4A1;HSP90AB1;MCM7;HNRNPU;HNRNPR;PSMD8;SYNCRIP;FBL;XPO1;TRIM28;YWHAQ;SNRPD3;AP3S1;KPNA2;CCT3;DDX18;CCT2;NCBP1;STARD7;PABPC4;IFRD1;UBE2E1;ILF2;RAD23B;TUFM;CCNA2;PSMA6;PSMA4;PSMA2;CLNS1A;CANX;NHP2;SRSF3;MCM4;ERH;MCM5;ETF1;PABPC1;MCM6;SNRPA;KPNB1;PRPS2;SET;PCNA;SF3B3;CSTF2;ODC1;DDX21;GSPT1;HSPD1;PSMB2;PSMB3;PCBP1;G3BP1;FAM120A;USP1;RPL14;EIF4H;RPS2;BUB3;CCT7;HNRNPA1;CCT5;CCT4;NOP56;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;PA2G4;SRPK1;XPOT;PSMC4;APEX1;IMPDH2;HNRNPA2B1;SERBP1;HNRNPD;RNPS1;PRPF31;TARDBP;ABCE1;EIF3D;EIF3B
MSigDB_Hallmark_2020	Interferon Gamma Response	79/200	3.053283e-19	5.088805e-18	0	0	4.108534e+00	1.751587e+02	IFITM3;OGFR;LGALS3BP;RTP4;SAMD9L;IFITM2;SPPL2A;TNFAIP2;UBE2L6;IFIT1;IFIT3;IFI44L;IFIT2;OASL;IFIH1;NAMPT;DHX58;EPSTI1;TRIM25;JAK2;B2M;HERC6;GBP6;IL15RA;RSAD2;SP110;DDX58;HLA-B;TAP1;HLA-A;NUP93;PSMA3;LATS2;IFI27;PSMA2;OAS2;IRF1;OAS3;IRF7;PSME2;SERPING1;TXNIP;CMPK2;LAP3;IDO1;C1R;DDX60;SAMHD1;HIF1A;USP18;PSMB10;HELZ2;SOCS3;RNF213;APOL6;SLC25A28;PSMB2;STAT4;RIPK1;HLA-DQA1;GBP4;CD74;PNPT1;STAT1;MX2;STAT3;MX1;EIF2AK2;IFI44;ISG15;TDRD7;NMI;PARP14;SOD2;PSMB8;PML;PSMB9;ZNFX1;PFKP
MSigDB_Hallmark_2020	Mitotic Spindle	75/199	5.494455e-17	6.868069e-16	0	0	3.799873e+00	1.422680e+02	TOP2A;YWHAE;TRIO;NUMA1;KIF11;ARHGAP5;SMC4;AKAP13;PCM1;PPP4R2;KIF5B;ARHGDIA;CDC27;NCK2;KIFAP3;SPTAN1;CDK5RAP2;SUN2;ARHGEF12;DST;RFC1;ARAP3;CSNK1D;TSC1;ACTN4;KIF22;SMC1A;CKAP5;TUBA4A;LATS1;TIAM1;CLIP2;CLIP1;CTTN;INCENP;FSCN1;MYH9;ARHGEF2;EZR;ARHGEF7;SOS1;PAFAH1B1;STAU1;EPB41;PXN;NEDD9;KLC1;HDAC6;ABR;CYTH2;EPB41L2;STK38L;FLNA;FLNB;ECT2;BUB1;SPTBN1;CLASP1;ARFGEF1;FARP1;DYNC1H1;GSN;PLK1;TBCD;RANBP9;MYO9B;CDC42BPA;ANLN;TPX2;MYO1E;MARCKS;APC;PRC1;TAOK2;CDK1
MSigDB_Hallmark_2020	mTORC1 Signaling	71/200	1.345191e-14	1.345191e-13	0	0	3.451696e+00	1.102460e+02	GSK3B;BTG2;UBE2D3;PLOD2;HK2;FADS2;TBK1;NAMPT;CTSC;FADS1;ACTR2;IGFBP5;HMGCS1;ELOVL5;IFRD1;CACYBP;ACSL3;TUBG1;TUBA4A;ACLY;PSMA3;DDX39A;PSMA4;PPA1;DDIT4;CANX;MCM4;TRIB3;ETF1;NUPR1;ALDOA;BCAT1;GAPDH;IDI1;NUP205;PSMD12;TOMM40;PSMD13;INSIG1;RPN1;HMGCR;ADD3;HSP90B1;HSPD1;STIP1;PSMB5;PRDX1;SERPINH1;ABCF2;YKT6;BUB1;HSPA5;SRD5A1;NFYC;PLK1;CYP51A1;RPA1;ASNS;IMMT;GTF2H1;DHCR24;CCT6A;RIT1;PFKL;PSMC4;PSAT1;SCD;PSMC2;NMT1;DHCR7;LGMN
MSigDB_Hallmark_2020	G2-M Checkpoint	68/200	5.189787e-13	4.324822e-12	0	0	3.226595e+00	9.127040e+01	TOP2A;NUMA1;AMD1;HNRNPU;ARID4A;KIF11;SMC4;SYNCRIP;XPO1;CCND1;KIF5B;CDC27;PBK;KPNA2;LBR;POLE;TNPO2;TMPO;UPF1;SS18;PRMT5;TLE3;RBM14;ATRX;KIF22;SMC1A;RAD23B;CCNA2;ILF3;SFPQ;DDX39A;EWSR1;INCENP;CKS2;MCM5;NUP98;MCM6;KPNB1;PAFAH1B1;YTHDC1;CUL3;ODC1;PDS5B;HIF1A;GSPT1;G3BP1;DMD;BUB3;BUB1;SLC12A2;HSPA8;SMAD3;PLK1;RPA2;MAPK14;PML;CUL4A;TPX2;STAG1;MARCKS;NASP;UBE2S;PRC1;HNRNPD;CDK1;MNAT1;EZH2;CDKN3
MSigDB_Hallmark_2020	E2F Targets	66/200	5.303820e-12	3.788443e-11	0	0	3.082330e+00	8.002529e+01	TOP2A;NUP107;MCM7;SMC6;BRCA1;SMC4;IPO7;SYNCRIP;XPO1;NBN;KPNA2;POLE;LBR;TMPO;HELLS;RFC1;TUBB;KIF22;TUBG1;SMC1A;DCK;ILF3;DDX39A;MSH2;CKS2;TIMELESS;MCM4;MCM5;MCM6;ASF1A;ASF1B;SLBP;NUP205;DNMT1;PCNA;PRKDC;SHMT1;PDS5B;GSPT1;TBRG4;USP1;PMS2;RBBP7;NOP56;DUT;PLK1;ATAD2;RPA1;RPA2;PA2G4;SSRP1;MLH1;NUDT21;STAG1;RAD50;WEE1;NASP;UBE2S;RPA3;HNRNPD;CDK1;CENPM;RAD1;EZH2;CDKN3;SPC25
MSigDB_Hallmark_2020	Protein Secretion	35/96	2.937104e-08	1.835690e-07	0	0	3.565529e+00	6.183789e+01	COPB2;TMED10;CLTC;ATP1A1;EGFR;RPS6KA3;AP1G1;LAMP2;ATP6V1H;AP3S1;YKT6;CTSC;SEC31A;ARFGEF1;ABCA1;ARFGEF2;MON2;DST;CAV2;BNIP3;GBF1;ADAM10;OCRL;AP2B1;STAM;SCAMP3;IGF2R;RER1;GNAS;VPS45;ERGIC3;PAM;RAB5A;COPE;BET1
MSigDB_Hallmark_2020	Unfolded Protein Response	36/113	8.906992e-07	4.948329e-06	0	0	2.903685e+00	4.045199e+01	EIF4A2;EIF4A1;CEBPB;SHC1;FKBP14;DCTN1;IFIT1;HSP90B1;HERPUD1;EDC4;EXOSC10;KHSRP;KIF5B;SEC31A;NOP56;ZBTB17;NPM1;HSPA5;IMP3;FUS;SLC30A5;ASNS;EEF2;PDIA6;YWHAZ;CNOT4;TUBB2A;SPCS1;XPOT;PSAT1;CNOT2;DDIT4;NHP2;ATP6V0D1;EXOC2;EIF4G1
MSigDB_Hallmark_2020	Apical Junction	53/200	2.030668e-06	1.015334e-05	0	0	2.243898e+00	2.941110e+01	B4GALT1;CTNND1;INPPL1;PKD1;ACTB;ACTG2;ACTG1;TIAL1;SGCE;RAC2;YWHAH;GAMT;CAP1;ACTN2;ITGA3;ACTN1;MMP2;TSC1;ACTN4;TUBG1;VAV2;ACTA1;VCAN;EXOC4;FSCN1;CERCAM;MYH9;MYL9;ARHGEF6;SHC1;INSIG1;ATP1A3;GNAI1;EGFR;MYL12B;GNAI2;LIMA1;EPB41L2;CTNNA1;SYMPK;PLCG1;SLIT2;JUP;PBX2;MSN;MAPK14;PTK2;TJP1;MAPK11;ACTC1;TAOK2;ZYX;TGFBI
