p1 p2 p3 p4 p5 p6 p7 p8 p9
A0101 0.911712903449152 0.622089872268243 0.46025063192141 0.939486852650866 0.945709148990819 0.952292453088084 0.872345105117781 0.918929482019985 0.235441559270322
A0201 0.885652419335234 0.382221431642528 0.90037989803209 0.863314875856631 0.952126132338639 0.851222947880306 0.91298205741749 0.921179365180725 0.471238387276876
A0202 0.896161947678087 0.409972619737078 0.86957236637096 0.876218867526228 0.929636032494569 0.902763000548011 0.920857099551895 0.917211281802775 0.443685337407419
A0203 0.888159682494869 0.418496884312052 0.887741171240884 0.898428069570211 0.952660309572816 0.783212805327971 0.926178555638097 0.920090559074196 0.479722868372919
A0204 0.865542922297915 0.375289583406865 0.83766511885688 0.822313922308538 0.945354853280237 0.64273531952423 0.926061542393922 0.899047862835046 0.337980126467957
A0205 0.864878649816794 0.642446059458441 0.753150630143483 0.791819062613942 0.906276948151558 0.809480093215944 0.83677521614343 0.853615759393618 0.444509564702033
A0206 0.893661915776409 0.636799814291276 0.872865210965276 0.881458680804984 0.942458834924464 0.824402244652501 0.925638757571852 0.900733671682577 0.503390365175734
A0207 0.841949473339731 0.392251192003024 0.589504970705155 0.791743372549881 0.890519423105207 0.832941233269443 0.908132358528023 0.905564709261994 0.428995646863001
A0211 0.882795833372375 0.542534000567511 0.919715009984208 0.853316310886446 0.926294520941539 0.89834452542722 0.94014007490062 0.925769994510269 0.556974253607783
A0301 0.806571496303156 0.604497866485671 0.871384472679995 0.930561777304046 0.942135734921742 0.894422077490375 0.803112167230658 0.931614786383901 0.383763062655476
A1101 0.783479578481332 0.648029405850609 0.906368855234029 0.929752820821999 0.949066579879177 0.921670564016964 0.890398848888034 0.936505724822933 0.29009485375769
A1102 0.714697298393455 0.609928908136592 0.776783321535008 0.789003838420634 0.795981425137477 0.82896056869611 0.713758295074779 0.861302363342868 0.332260006737087
A2301 0.930257470620305 0.426565681534901 0.878319825298019 0.930427718782091 0.948968680319202 0.932427959022578 0.953864108647357 0.925501013621445 0.468612586008267
A2402 0.913908001458405 0.333005169341844 0.899908707252865 0.935672631598187 0.961264622409082 0.90679746904047 0.950702033524948 0.917815426953814 0.473613572389194
A2407 0.871031879887641 0.338593602732051 0.900179995376949 0.901982856065347 0.941823672346661 0.898184221988647 0.909944491095843 0.87082463170035 0.398699866918336
A2501 0.576497624464976 0.481430102097889 0.761102411016974 0.843265747705574 0.936966823143239 0.771426470362516 0.889062522231411 0.810697782400315 0.475432520737848
A2601 0.653445068971261 0.561738014096514 0.808301068317331 0.890713423949739 0.947393851119903 0.851385552426321 0.910112683289986 0.896542998220461 0.512728269601619
A2902 0.903265449432812 0.79294559889193 0.902606815115389 0.9089340557661 0.910479308715849 0.93719841649571 0.753103409412538 0.907055385389495 0.168336862586854
A3001 0.731709542677147 0.764596371535308 0.681395139875033 0.923932427541428 0.932130082664058 0.929622045962144 0.899272132796763 0.932221808093325 0.601607876796268
A3002 0.821990103724127 0.841634300426829 0.926343172936107 0.943071689525003 0.925513374363301 0.954193778831575 0.911865831465068 0.9384074132214 0.300268242649756
A3101 0.826661392111163 0.770616802957957 0.907021843802877 0.941737027080252 0.927451475908617 0.906291404554542 0.901590119657103 0.93008327216834 0.245244653901847
A3201 0.61882261673118 0.636090180968276 0.888050706232152 0.931341927818416 0.949964360658708 0.903841195632239 0.936374607231536 0.835279459758549 0.524893519167731
A3301 0.75467209745081 0.775353714858716 0.912789190997777 0.954366089038616 0.937351842724665 0.934390021665879 0.942112982613073 0.941573947448494 0.157679637564346
A3303 0.654864649903572 0.663793755496197 0.750711382619877 0.757354492200334 0.720144427271451 0.745228725103401 0.754338480005258 0.790791604325923 0.0565755653408071
A3401 0.544744038856483 0.631510499154733 0.858862462049961 0.911238529560923 0.895983456085722 0.869815497482222 0.901395480877796 0.936330483886642 0.284731932248587
A3402 0.703347317268198 0.591164179248948 0.883589427628685 0.914255294050614 0.92504117869754 0.887944211135062 0.865430432165507 0.934008634707763 0.365594112712845
A3601 0.784448111114036 0.619511916673868 0.463726153461879 0.947422054181514 0.965634276233786 0.952992963828956 0.858180440389573 0.897786202912579 0.18914938763004
A6601 0.639877761772098 0.546343948151838 0.815412640597288 0.886670442472647 0.884066821578519 0.813162128786187 0.870274255136517 0.897330189739067 0.229001037339861
A6801 0.863720022447458 0.68375457696998 0.879239829374192 0.93452595486106 0.918494211141307 0.917860928952765 0.931114762313427 0.940301487974883 0.289899128972854
A6802 0.829954831724667 0.659133707979027 0.827949158611346 0.930917071153427 0.836730472671408 0.880753086197305 0.928085133684758 0.925456228670054 0.49365970160624
