p1 p2 p3 p4 p5 p6 p7 p8
A0101 0.805920171791118 0.642215697765938 0.35938158763747 0.847186445390472 0.837442402259051 0.768041049948874 0.770894705908699 0.382329465366904
A0201 0.837359651241921 0.503493265368164 0.784696756470383 0.891762093489036 0.80190108382976 0.859826689950205 0.841907815206532 0.645181560988782
A0202 0.611439597092851 0.389096342407317 0.662187307866452 0.701970204914656 0.677077291036895 0.660845850450694 0.644781529532639 0.463818727930862
A0203 0.629378120580625 0.213664016401284 0.670567852776277 0.700451339545326 0.481050373209312 0.712677567268481 0.712132587007111 0.398360415161666
A0204 0.757247649702069 0.282751925639454 0.474314865230522 0.573435261603914 0.570949634035165 0.714560758958131 0.750529783494868 0.337694456769344
A0205 0.737140289875846 0.673639142932992 0.597969993492326 0.735041628379157 0.671323394912545 0.714681745528573 0.733269453155823 0.560068190974417
A0206 0.575372392404813 0.47002308209035 0.571748431199707 0.562277305816981 0.521283978938895 0.625380454860551 0.503279642660442 0.441251932767832
A0207 0.530849003994585 0.363155398383259 0.43043089732882 0.495975854592494 0.539227767869977 0.615778803416259 0.665797474366391 0.391217910720123
A0211 0.356656496622128 0.329057338416002 0.345457402707506 0.458594319908695 0.295093570913922 0.426833218920965 0.522015147231509 0.251648906077872
A0301 0.73925550160738 0.66176190209734 0.77795803479302 0.770706054478236 0.713665134539092 0.767023853046198 0.727695165426039 0.245885055545428
A1101 0.805957761586207 0.731141640690389 0.911026231474463 0.872719524569722 0.873348221781898 0.856314104821218 0.859534956700853 0.232729303161034
A1102 0.807498859771635 0.896224478190245 0.863262762964761 0.907696396720315 0.844483765246929 0.850560779333631 0.844770699979402 0.191918550563619
A2301 0.498516081425433 0.47298689806051 0.509033272932695 0.47556479314108 0.56459980883437 0.582189695772602 0.586159343985948 0.358285624878975
A2402 0.766763507405277 0.532240770272843 0.722588764956467 0.893814742751281 0.780491268664437 0.853176573864848 0.807935483996513 0.475644812281717
A2407 0.545806982568912 0.664727763221829 0.657165937652157 0.707222493068945 0.510475621115323 0.811418079758663 0.633877334800528 0.402197558569462
A2501 0.570976667426211 0.637084728328999 0.703192789231788 0.670138758780393 0.670138758780393 0.616506735119549 0.57742814524869 0.49719356895893
