p1 p2 p3 p4 p5 p6 p7 p8 p9
A0101 0.935014090481107 0.641979489180421 0.561482694632907 0.955475461311845 0.968887801256122 0.965427439119419 0.925793904787308 0.944085687999099 0.280417297535484
A0201 0.904356537960884 0.470760868031559 0.928982135387982 0.897982209098269 0.964929626590279 0.894606151456038 0.946414311371511 0.937966166503789 0.537868029031999
A0202 0.917487756900253 0.551144088253972 0.942584782392854 0.948506200903968 0.939559458263423 0.922512567971669 0.929669384393211 0.939248275013197 0.544291949589776
A0203 0.919783168720581 0.517292185834757 0.947842194718841 0.955590954613572 0.961388412440485 0.913513942341932 0.941903015263768 0.948892886480599 0.545232816345356
A0204 0.865542922297915 0.375289583406865 0.83766511885688 0.822313922308538 0.945354853280237 0.64273531952423 0.926061542393922 0.899047862835046 0.337980126467957
A0205 0.847549409533675 0.664886517873475 0.7014083343676 0.783919999708013 0.884049869211655 0.788601268387921 0.802652930869037 0.827336937144814 0.479639690264343
A0206 0.904354845461342 0.654183627798113 0.922069601191989 0.952655664828482 0.954827897111775 0.910584474751121 0.932600003243578 0.934267439255621 0.592338987409365
A0207 0.812463752056071 0.336423425979034 0.561762972601122 0.746525305591127 0.880013166856999 0.802998138277889 0.882128521094932 0.888223556848965 0.413373150076763
A0211 0.919684935567868 0.596802935216794 0.947379343014154 0.879222071281952 0.970047509770886 0.933674498924921 0.950464730643643 0.960250249113813 0.667717390716166
A0301 0.829964276063654 0.655400256616206 0.902831143647064 0.949499944054033 0.956772612281268 0.932692404081332 0.886206799186651 0.944863734470132 0.350985967078428
A1101 0.828794908572718 0.672054265235593 0.915910430802199 0.946818770631025 0.958466918378218 0.939944070204717 0.908942843906877 0.950429325648846 0.290839535307947
A1102 0.716299574410577 0.6162834494991 0.658352215528147 0.67423080838153 0.658352215528147 0.758368340439624 0.548024510294389 0.800437106468671 0.414150591127928
A2301 0.958224678184607 0.535346073477057 0.910513622990095 0.963562482886846 0.952064862351437 0.938635835016814 0.967758850585769 0.951400270999072 0.479412505180432
A2402 0.925814572977536 0.407007473808346 0.924644911818924 0.940602589753256 0.966264701575761 0.929397429201046 0.957847830833833 0.933863190958859 0.498107198946813
A2407 0.871031879887641 0.338593602732051 0.900179995376949 0.901982856065347 0.941823672346661 0.898184221988647 0.909944491095843 0.87082463170035 0.398699866918336
A2501 0.58278637430903 0.461906164263685 0.761530146546715 0.820482147826767 0.943648577139591 0.770093994466298 0.867003060872 0.799204302098179 0.417114581973406
A2601 0.791730162143149 0.639993604454534 0.856411238841726 0.919150300597048 0.974867754445581 0.888900329213441 0.935727802126563 0.893572391387511 0.485270990982497
A2902 0.924552048544711 0.84541762881868 0.943156511244523 0.927585810206368 0.948555814474182 0.955426808815012 0.830668008770335 0.918222787179045 0.210933086911371
A3001 0.744481302061907 0.775622977679841 0.727600070567839 0.974054626416978 0.943324483430711 0.93843612381643 0.920325489058487 0.925815737940223 0.703540895868669
A3002 0.927756149208186 0.89822969316162 0.943370512657013 0.962824444691004 0.969060240619051 0.959649273510632 0.946436569262069 0.967009173052314 0.50340931350344
