p1 p2 p3 p4 p5 p6 p7 p8 p9
A0101 0.888411716417198 0.602200255356064 0.359018569209912 0.923498243989887 0.922530496725516 0.93915746705675 0.818896305448254 0.893773276040872 0.19046582100516
A0201 0.866948300709584 0.293681995253496 0.871777660676199 0.828647542614993 0.939322638087 0.807839744304574 0.879549803463468 0.904392563857662 0.404608745521754
A0202 0.874836138455921 0.268801151220184 0.796559950349066 0.803931534148488 0.919712606725715 0.883013433124353 0.912044814710579 0.895174288592353 0.343078725225063
A0203 0.856536196269156 0.319701582789348 0.827640147762927 0.84126518452685 0.943932206705146 0.65291166831401 0.910454096012426 0.891288231667792 0.414212920400481
A0204 0.865542922297915 0.375289583406865 0.83766511885688 0.822313922308538 0.945354853280237 0.64273531952423 0.926061542393922 0.899047862835046 0.337980126467957
A0205 0.882207890099913 0.620005601043406 0.804892925919366 0.799718125519871 0.928504027091461 0.830358918043967 0.870897501417824 0.879894581642422 0.409379439139722
A0206 0.882968986091476 0.619416000784438 0.823660820738564 0.810261696781486 0.930089772737153 0.73822001455388 0.918677511900127 0.867199904109532 0.414441742942103
A0207 0.87143519462339 0.448078958027015 0.617246968809189 0.836961439508636 0.901025679353416 0.862884328260997 0.934136195961114 0.922905861675023 0.444618143649239
A0211 0.845906731176881 0.488265065918228 0.892050676954262 0.82741055049094 0.882541532112192 0.86301455192952 0.929815419157597 0.891289739906726 0.446231116499401
A0301 0.783178716542659 0.553595476355136 0.839937801712926 0.911623610554059 0.927498857562216 0.856151750899419 0.720017535274664 0.91836583829767 0.416540158232525
A1101 0.738164248389945 0.624004546465626 0.89682727966586 0.912686871012973 0.939666241380135 0.903397057829211 0.87185485386919 0.92258212399702 0.289350172207433
A1102 0.713095022376333 0.603574366774084 0.89521442754187 0.903776868459737 0.933610634746808 0.899552796952596 0.879492079855169 0.922167620217064 0.250369422346246
A2301 0.902290263056003 0.317785289592744 0.846126027605942 0.897292954677336 0.945872498286967 0.926220083028343 0.939969366708944 0.899601756243819 0.457812666836103
A2402 0.902001429939274 0.259002864875341 0.875172502686806 0.930742673443118 0.956264543242403 0.884197508879893 0.943556236216063 0.901767662948769 0.449119945831574
A2407 0.871031879887641 0.338593602732051 0.900179995376949 0.901982856065347 0.941823672346661 0.898184221988647 0.909944491095843 0.87082463170035 0.398699866918336
A2501 0.570208874620922 0.500954039932092 0.760674675487233 0.866049347584381 0.930285069146887 0.772758946258734 0.911121983590821 0.822191262702452 0.53375045950229
A2601 0.515159975799374 0.483482423738495 0.760190897792935 0.86227654730243 0.919919947794226 0.813870775639202 0.88449756445341 0.899513605053412 0.540185548220741
A2902 0.881978850320913 0.740473568965179 0.862057118986256 0.890282301325832 0.872402802957516 0.918970024176408 0.675538810054741 0.895887983599944 0.125740638262336
A3001 0.718937783292386 0.753569765390776 0.635190209182228 0.873810228665877 0.920935681897405 0.920807968107859 0.87821877653504 0.938627878246428 0.499674857723867
A3002 0.716224058240067 0.785038907692039 0.909315833215202 0.923318934359001 0.881966508107551 0.948738284152518 0.877295093668068 0.909805653390486 0.097127171796072
A3101 0.777689893058348 0.761671179581641 0.882375680211443 0.907386856131199 0.890164793676411 0.848475458261943 0.846204972988413 0.906289764387233 0.0880449301799307
A3201 0.566634838311362 0.640714615160744 0.894535591876452 0.919622610794568 0.958353306732129 0.90506885307079 0.953225151229697 0.841832511441687 0.5062061774527
A3301 0.59925381513278 0.79897393876635 0.896135652603413 0.937124532773651 0.917866129035505 0.909361168360147 0.920484722380874 0.938305942916679 0.105468189431547
A3303 0.660168534236201 0.74413480632424 0.9179700605716 0.931256279732512 0.922944210777536 0.907004745538647 0.925224255342362 0.932022443080903 0.113151130681614
A3401 0.544744038856483 0.631510499154733 0.858862462049961 0.911238529560923 0.895983456085722 0.869815497482222 0.901395480877796 0.936330483886642 0.284731932248587
A3402 0.703347317268198 0.591164179248948 0.883589427628685 0.914255294050614 0.92504117869754 0.887944211135062 0.865430432165507 0.934008634707763 0.365594112712845
A3601 0.784448111114036 0.619511916673868 0.463726153461879 0.947422054181514 0.965634276233786 0.952992963828956 0.858180440389573 0.897786202912579 0.18914938763004
A6601 0.72417239430775 0.580877216917404 0.865158065358933 0.903892703362579 0.906286792781788 0.87878022754481 0.912723318630689 0.935312378542487 0.229544624585415
A6801 0.783126644933042 0.635860332234592 0.835411783688725 0.893452809408454 0.879654250189811 0.870588526046679 0.898932440022458 0.920635802999802 0.190460896554721
A6802 0.746703041401133 0.624391881513437 0.750139758754686 0.894216255698966 0.744885361326673 0.838959904229226 0.91720808598037 0.931332629398467 0.475202070107686
A7401 0.690402794443109 0.614570120768136 0.900240612533223 0.911800542538399 0.953043100018161 0.909986630764988 0.91681184344268 0.914559309423939 0.0988230210202548
B0702 0.811302891373822 0.14471408989244 0.900405891494555 0.901276469603516 0.880804610530464 0.905937725691911 0.897100224853587 0.867782061043752 0.356616386148239
B0704 0.824886096189386 0.232339578467252 0.820867337388897 0.918843746133609 0.895807465536222 0.896321622807645 0.835557789921018 0.874839314638934 0.402230192585811
B0801 0.8560088064773 0.647737610440604 0.799988569590616 0.838347962035647 0.450207231397359 0.842828099405427 0.854621000922689 0.729885418975571 0.335053058876639
B1301 0.732005984253148 0.488057309405861 0.89968986265708 0.921980668832452 0.916357260645246 0.924519451451458 0.892635147038262 0.907121255277189 0.492799525573163
B1302 0.789338802437305 0.535476949680898 0.93568638258811 0.913288402381247 0.895863508609031 0.914782647953392 0.803511155049155 0.874565156755051 0.385951507965714
B1402 0.806500500638849 0.523632280079691 0.781528993262562 0.90928698151006 0.671175071364131 0.939944416305247 0.920460321737516 0.826378307869422 0.362333797008865
B1501 0.829436480987918 0.573953394605291 0.884450336589655 0.895272564444579 0.939968478945084 0.940865402276711 0.907991105090238 0.881197536303461 0.390747754883189
B1502 0.853053705038117 0.627727910839108 0.868460635903502 0.875099211928443 0.925315810793057 0.924335893643165 0.894914416103204 0.834021849654031 0.350209299026152
B1503 0.80025931510334 0.418745587043423 0.922810677086025 0.922707857184346 0.946033486093738 0.943963662316478 0.902619127444875 0.88322217797077 0.40485708913204
B1510 0.893873502003875 0.146639126277975 0.895285962132794 0.906728847859965 0.933148797375593 0.886484907024544 0.898526489447271 0.853415706936197 0.33183900478782
B1517 0.842334301580337 0.447926560366606 0.838198398520155 0.898157701827925 0.934730583623283 0.913544750413 0.630746253449636 0.87449621224233 0.5123400489005
B1801 0.820160230390789 0.103947822337255 0.916105921347845 0.908900767473375 0.892511783156132 0.90529807937487 0.917634593894124 0.880743032272694 0.527517242888957
B2705 0.80870447368845 0.0587144643379965 0.830711550842516 0.936061592877993 0.884740043335557 0.900550996556674 0.849566746121883 0.902969075573152 0.637656143262144
B3501 0.843114483099659 0.301055971352665 0.892407977382947 0.892451994116577 0.861341234141443 0.888524803246485 0.877554995011635 0.895558999761136 0.474105144878599
B3503 0.813803777015801 0.182479842504434 0.901746278696719 0.882320496509591 0.935818838224971 0.901446000384918 0.926004970370104 0.843561834097265 0.313953758651132
B3507 0.87364475469791 0.302828399832723 0.913888777308401 0.898981928306404 0.93152266144205 0.927726969117025 0.90400158510879 0.880078104369005 0.47646471270733
B3701 0.787276181951292 0.338077901281543 0.847984265519386 0.865323861614555 0.593182940157271 0.937926185285327 0.939642351412013 0.892743817766183 0.48807630825205
B3801 0.899933438804008 0.218460590979931 0.858605769942238 0.914714487073928 0.930272888211599 0.932288873991591 0.922302555755806 0.908164895624862 0.429181983845492
B3802 0.901032291831605 0.233284818548287 0.841040077499587 0.926200046472936 0.946174522882436 0.935259763165124 0.919403691483059 0.929850321043715 0.439433789361997
B4001 0.849370797305149 0.0451763717083671 0.919311704943647 0.921416711854451 0.934443730627398 0.942747021080555 0.886119818807599 0.902778991553263 0.156982389259315
B4002 0.834637050516031 0.109917827192187 0.945563715345726 0.914846230671659 0.939225752945574 0.92063422082007 0.935391464903248 0.873415501830524 0.463324608561988
B4006 0.810435196972352 0.0814283377417466 0.893251692886522 0.929024094694964 0.948957575565623 0.899872397640782 0.928168817756569 0.854021070190299 0.446831490681343
B4201 0.86999771817333 0.193563489927023 0.876621684774277 0.91542113289813 0.900409788370182 0.930897016998295 0.922578033256992 0.869476103027447 0.418640200847294
B4402 0.775161019950686 0.0460197242593573 0.903165323562464 0.891334621005584 0.839608125761298 0.88528180730302 0.892034033712037 0.909848111936326 0.506250596252168
B4403 0.764200182910924 0.0227445871798909 0.888633228694897 0.888241563363419 0.846614904129011 0.884580003078798 0.845052692913182 0.916620141028972 0.529568527033147
B4501 0.684689222353131 0.0409613532759114 0.898488874640817 0.911925290251916 0.953541359999241 0.936723956772514 0.910739270659837 0.850584511930508 0.381549845615759
B4601 0.820459839552681 0.656559886988842 0.769147201595116 0.85042048958122 0.915230365873866 0.892554722269851 0.894943595186362 0.743151369737798 0.513739586483799
B4901 0.855742729917394 0.0277008000436866 0.947836551710254 0.919625196473986 0.94941663742079 0.934291297720368 0.93365792194659 0.889066623112218 0.413402246623514
B5001 0.874721481412342 0.0814287957480822 0.786768228911215 0.914863308441222 0.901691210571572 0.85422676309339 0.852546109799611 0.872559952817807 0.508005296292149
B5101 0.754962302909964 0.319558585851223 0.847654086874431 0.904634180215538 0.948436719784282 0.897384679182231 0.872118918468149 0.885018461223064 0.375067682084244
B5201 0.868697401492361 0.492668672900976 0.818678616945942 0.909257648722916 0.90887734356541 0.92887828562413 0.91270819250849 0.820332626843305 0.33402021678159
B5301 0.864229446634607 0.266664035713736 0.907935796895912 0.874975928254638 0.939943672319365 0.934600125022001 0.924825053659051 0.913182644690973 0.566299239798212
B5401 0.807653686503815 0.263759012280564 0.901217523986413 0.925838150873367 0.890985405699675 0.872753800421179 0.877235832654138 0.855000295587805 0.388479999388321
B5501 0.838121732912461 0.153621880742288 0.895804348164928 0.901223902502152 0.892007978697518 0.891415324982757 0.869470132705806 0.85772054204792 0.372897413646303
B5502 0.841434354002899 0.112095419015294 0.929117458037164 0.910712616187428 0.893020270736285 0.902661398592777 0.90110642043501 0.853647358874528 0.370120978645099
B5601 0.838792918073914 0.139766347990665 0.93237435830727 0.90370841171219 0.890551508744383 0.908637982924785 0.89990095563905 0.832870073288453 0.359891909465301
B5701 0.806793153478932 0.507357271404378 0.906970598098345 0.895815988691498 0.885796730493064 0.91383817153287 0.940685438015226 0.896123942829264 0.366566944590182
B5703 0.717893814610456 0.472137791064229 0.932576931863223 0.894167549915081 0.92278313420735 0.948147094587783 0.925167780530103 0.880399263383398 0.482845829854053
B5801 0.743283382531965 0.550379000640712 0.896310486959789 0.903883012753955 0.92764817024538 0.934117374837403 0.935010257580255 0.890242362234405 0.40434308948694
B5802 0.560086591676725 0.410778494208636 0.847127199050847 0.931204666499586 0.899029765276828 0.940347935584832 0.792991305225743 0.847530720735294 0.485035126815009
C0102 0.880106108309436 0.687287472743376 0.344225017234856 0.899550753169272 0.914565103117654 0.927799851853584 0.888949427992962 0.75468735850811 0.267197059971467
C0202 0.798178969470829 0.5060473064243 0.865268230805927 0.840737894761586 0.917180215016476 0.907228217091051 0.927396694639436 0.906579396339032 0.54768097241296
C0302 0.728827226890713 0.526205268624344 0.896708615079033 0.856673827730175 0.922650864395275 0.888466708114213 0.885754490089678 0.813529353908043 0.570064607436256
C0303 0.752858322306047 0.532443141055938 0.872279619551566 0.862333849894492 0.923731116847686 0.914741291821864 0.907887129664044 0.855107436258972 0.332382427068971
C0304 0.775840968304058 0.551262297094081 0.859170922138826 0.859687280081114 0.926489345843886 0.914479063194771 0.904699441093724 0.842961032713843 0.297057902470439
C0401 0.8970538298674 0.52481091215108 0.365356916624316 0.897864269497843 0.951174920016035 0.906018593770175 0.886875832030044 0.934769178650749 0.534643819753483
