p1 p2 p3 p4 p5 p6 p7 p8 p9 p10
A0101 0.904834989406576 0.614713781480831 0.419716043152542 0.931610196675417 0.945537330204258 0.956109415403976 0.952747211399222 0.913749800752787 0.90024475412981 0.18119145585285
A0201 0.851538667484464 0.391300835056658 0.865199520276314 0.813069951914379 0.928583317757953 0.93588006967642 0.879798472111595 0.916709678500186 0.927297745790525 0.525032368602525
A0202 0.87178272055342 0.446078045726192 0.83048320133945 0.849153556834137 0.917305534592615 0.92894436156432 0.909712385740361 0.937393335246659 0.925695411549259 0.521464910184357
A0203 0.884305543732681 0.456677410870282 0.844373655613324 0.875209346464091 0.939314999207478 0.937410963857057 0.780972604608246 0.925659754522118 0.91537978699509 0.496753794219797
A0204 0.842293605787523 0.286234940920809 0.753996491598595 0.688923768845277 0.902029150275032 0.92383956299886 0.81072779048405 0.88041810333713 0.913917334426445 0.445157053050693
A0205 0.773581613478579 0.660550337201259 0.620701724747409 0.724096907639845 0.829733929220497 0.875490662018623 0.741170755369156 0.857057110448251 0.822726825725566 0.540614929640488
A0206 0.869101581901922 0.638042493168948 0.833076161883187 0.825570115003599 0.904707574844654 0.901478586198305 0.827851257677028 0.912455921151143 0.909057478609648 0.494427045409394
A0207 0.577626888080873 0.367583810727566 0.391943586059004 0.564987851268794 0.633205091163373 0.763835123179969 0.669086915881821 0.685223871322677 0.657615511222279 0.467736113731678
A0211 0.821310390256607 0.430471062517866 0.850277762776055 0.689018916041579 0.887283023580744 0.873610407762352 0.875356205123444 0.900625784069395 0.922970203892941 0.509344048001377
A0301 0.802810448815925 0.614526165685859 0.883925003174021 0.928322388595534 0.959052406614285 0.91949217259631 0.894523278230377 0.886853751147223 0.929774407408352 0.316416788618294
A1101 0.759579376323724 0.62240384561164 0.916060013287706 0.934784895453044 0.943408621384513 0.935213507284243 0.933320206769695 0.902667839240081 0.934641764599695 0.244948667425186
A1102 0.641083353432163 0.571565734757638 0.886637695976527 0.904956133378834 0.920290371298073 0.89496183425693 0.905420144530315 0.881005454993227 0.931206539820713 0.232232097632359
A2301 0.897824931571283 0.471806976960889 0.840526586956771 0.899117668516948 0.940048959751161 0.944994396388801 0.950819129703596 0.910646923650971 0.903686617090056 0.413878486755071
A2402 0.898545959384055 0.329623398530547 0.899270669835232 0.875295169884288 0.947033815092261 0.954289591431328 0.959141413804626 0.935900716313929 0.901774663130719 0.413936941630877
A2407 0.824242056411777 0.394412086840147 0.85900601284551 0.838714398468743 0.888266332198558 0.916937656935584 0.925082598637083 0.866332373020054 0.870653276439971 0.324118477989483
A2501 0.601776387095489 0.462600837426602 0.832048228722198 0.832734986660804 0.922801142947348 0.939317973500974 0.87805405211058 0.897268634611207 0.796618100274087 0.460656208282746
A2601 0.60825201836231 0.527976383007627 0.818839542279651 0.868035705978881 0.927959523224762 0.93982144393152 0.872269376104758 0.88396368065861 0.921445323134585 0.44857518645028
A2902 0.879945452830053 0.716954871888962 0.907954150449572 0.912877849914453 0.906134620126621 0.927220634976786 0.914224384757753 0.851846242573943 0.888528204627032 0.195416139782086
A3001 0.755463537249453 0.795547385312999 0.809096143454065 0.847812785294322 0.86121803682515 0.851031489046295 0.894089962834407 0.677858499796895 0.88044527684465 0.584402936765145
A3002 0.797389108332009 0.820248891920536 0.92510811937338 0.899724808230579 0.949328039473536 0.94313999853689 0.96055820687899 0.892130825341857 0.934490010535411 0.0923660088184443
A3101 0.812061302742061 0.759510731800635 0.894340716446722 0.904347506790592 0.915388985176322 0.944833928988062 0.913475638950622 0.892916599113162 0.917109972547563 0.305714582879579
A3201 0.464496262591436 0.627314608692527 0.795009652410107 0.844745809574285 0.935437423130222 0.934093153920204 0.886863255335187 0.940883224027571 0.797782258076633 0.491990436640808
A3301 0.759819432364383 0.797976146996586 0.919266814961383 0.932057112624609 0.925676422605906 0.947029718207262 0.936937696699824 0.896973238534533 0.926232965058164 0.236717005039765
A3303 0.538489496117494 0.574668274858847 0.705442995702915 0.668117603909146 0.729509904040642 0.741688733038846 0.730894863672703 0.69922234691195 0.730024280093874 0.181396435013052
A3401 0.454807226919301 0.580426378511977 0.852814245237922 0.893512415106752 0.930169425980429 0.919605652930502 0.916690525153698 0.891665096866858 0.88328877769997 0.337189379803868
A3402 0.636696821309432 0.519041027077394 0.88246590762464 0.89233186149525 0.925407177036862 0.92438426551005 0.922915719933444 0.891560816043519 0.901316456452716 0.441868391609359
